Week,Pepperoni_pizza_Miami_Ft_Lauderdale_FL,supreme_pizza_Miami_Ft_Lauderdale_FL
2/5/2017,20,15
2/12/2017,39,15
2/19/2017,15,15
2/26/2017,15,15
3/5/2017,15,15
3/12/2017,19,15
3/19/2017,39,15
3/26/2017,63,15
4/2/2017,15,15
4/9/2017,15,15
4/16/2017,21,15
4/23/2017,15,15
4/30/2017,15,15
5/7/2017,21,21
5/14/2017,43,15
5/21/2017,15,15
5/28/2017,15,15
6/4/2017,42,21
6/11/2017,15,22
6/18/2017,21,21
6/25/2017,15,15
7/2/2017,15,15
7/9/2017,15,15
7/16/2017,15,15
7/23/2017,15,15
7/30/2017,15,15
8/6/2017,43,15
8/13/2017,23,23
8/20/2017,15,15
8/27/2017,15,15
9/3/2017,42,15
9/10/2017,29,15
9/17/2017,15,15
9/24/2017,15,15
10/1/2017,42,15
10/8/2017,15,21
10/15/2017,21,15
10/22/2017,21,15
10/29/2017,15,15
11/5/2017,21,15
11/12/2017,20,15
11/19/2017,22,15
11/26/2017,20,15
12/3/2017,40,20
12/10/2017,15,15
12/17/2017,15,15
12/24/2017,15,15
12/31/2017,22,15
1/7/2018,85,15
1/14/2018,15,15
1/21/2018,15,15
1/28/2018,15,35
2/4/2018,15,15
2/11/2018,15,15
2/18/2018,24,15
2/25/2018,40,20
3/4/2018,35,15
3/11/2018,39,15
3/18/2018,15,15
3/25/2018,15,15
4/1/2018,35,15
4/8/2018,15,35
4/15/2018,62,21
4/22/2018,15,15
4/29/2018,21,0
5/6/2018,15,21
5/13/2018,35,15
5/20/2018,15,15
5/27/2018,21,15
6/3/2018,21,15
6/10/2018,41,15
6/17/2018,42,15
6/24/2018,15,15
7/1/2018,15,15
7/8/2018,21,15
7/15/2018,15,22
7/22/2018,15,21
7/29/2018,15,43
8/5/2018,15,15
8/12/2018,22,15
8/19/2018,15,22
8/26/2018,21,15
9/2/2018,41,21
9/9/2018,15,15
9/16/2018,21,15
9/23/2018,15,15
9/30/2018,15,15
10/7/2018,20,20
10/14/2018,15,15
10/21/2018,15,15
10/28/2018,15,15
11/4/2018,15,15
11/11/2018,42,15
11/18/2018,15,22
11/25/2018,15,15
12/2/2018,40,15
12/9/2018,15,15
12/16/2018,15,15
12/23/2018,15,15
12/30/2018,15,15
1/6/2019,35,15
1/13/2019,15,15
1/20/2019,76,15
1/27/2019,20,20
2/3/2019,15,39
2/10/2019,15,15
2/17/2019,15,15
2/24/2019,19,15
3/3/2019,15,15
3/10/2019,15,15
3/17/2019,15,15
3/24/2019,21,21
3/31/2019,42,15
4/7/2019,15,15
4/14/2019,21,15
4/21/2019,15,21
4/28/2019,15,15
5/5/2019,15,15
5/12/2019,21,15
5/19/2019,21,15
5/26/2019,21,15
6/2/2019,15,15
6/9/2019,15,15
6/16/2019,21,15
6/23/2019,15,21
6/30/2019,15,15
7/7/2019,15,21
7/14/2019,21,15
7/21/2019,79,20
7/28/2019,21,15
8/4/2019,15,15
8/11/2019,15,15
8/18/2019,15,15
8/25/2019,15,15
9/1/2019,18,18
9/8/2019,15,15
9/15/2019,37,15
9/22/2019,39,15
9/29/2019,15,15
10/6/2019,39,15
10/13/2019,37,15
10/20/2019,15,15
10/27/2019,39,20
11/3/2019,36,15
11/10/2019,15,15
11/17/2019,18,18
11/24/2019,40,15
12/1/2019,15,15
12/8/2019,15,15
12/15/2019,38,15
12/22/2019,15,39
12/29/2019,15,15
1/5/2020,34,15
1/12/2020,50,17
1/19/2020,15,37
1/26/2020,15,15
2/2/2020,16,15
2/9/2020,17,15
2/16/2020,16,16
2/23/2020,15,15
3/1/2020,31,15
3/8/2020,30,15
3/15/2020,31,15
3/22/2020,15,15
3/29/2020,15,15
4/5/2020,37,15
4/12/2020,15,15
4/19/2020,50,15
4/26/2020,17,17
5/3/2020,37,15
5/10/2020,15,33
5/17/2020,51,15
5/24/2020,38,15
5/31/2020,34,15
6/7/2020,15,15
6/14/2020,34,15
6/21/2020,53,18
6/28/2020,38,15
7/5/2020,36,15
7/12/2020,15,15
7/19/2020,15,15
7/26/2020,15,15
8/2/2020,39,15
8/9/2020,39,15
8/16/2020,15,15
8/23/2020,15,15
8/30/2020,35,17
9/6/2020,15,15
9/13/2020,36,15
9/20/2020,15,38
9/27/2020,19,37
10/4/2020,15,36
10/11/2020,15,39
10/18/2020,15,15
10/25/2020,38,15
11/1/2020,30,15
11/8/2020,15,15
11/15/2020,15,39
11/22/2020,15,20
11/29/2020,15,15
12/6/2020,36,15
12/13/2020,38,15
12/20/2020,15,15
12/27/2020,20,20
1/3/2021,36,18
1/10/2021,36,15
1/17/2021,55,15
1/24/2021,15,15
1/31/2021,15,15
2/7/2021,18,15
2/14/2021,18,18
2/21/2021,35,35
2/28/2021,15,15
3/7/2021,15,15
3/14/2021,37,15
3/21/2021,15,15
3/28/2021,37,15
4/4/2021,38,15
4/11/2021,15,15
4/18/2021,37,15
4/25/2021,38,15
5/2/2021,37,15
5/9/2021,36,15
5/16/2021,35,15
5/23/2021,15,15
5/30/2021,15,15
6/6/2021,39,15
6/13/2021,15,15
6/20/2021,15,15
6/27/2021,39,15
7/4/2021,35,15
7/11/2021,15,15
7/18/2021,100,15
7/25/2021,39,15
8/1/2021,15,15
8/8/2021,15,15
8/15/2021,15,15
8/22/2021,22,15
8/29/2021,15,15
9/5/2021,15,15
9/12/2021,39,15
9/19/2021,15,15
9/26/2021,15,15
10/3/2021,47,15
10/10/2021,15,15
10/17/2021,14,14
10/24/2021,15,15
10/31/2021,28,15
11/7/2021,27,15
11/14/2021,28,15
11/21/2021,15,15
11/28/2021,26,15
12/5/2021,28,15
12/12/2021,26,15
12/19/2021,14,14
12/26/2021,15,15
1/2/2022,15,15
1/9/2022,26,15
1/16/2022,28,15
1/23/2022,15,27
